epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4319.7,1.67389,1.35307,1.00171,0.91259,0.88571,0.94931,0.44916,1.95383,1.07778,1.16636,0.001538,0.001538,0.001538
44,4424.37,1.57461,1.28859,1.00045,0.86129,0.8871,0.92227,0.5136,1.80718,1.05614,1.15032,0.001527,0.001527,0.001527
45,4544.58,1.60029,1.34977,1.01507,0.9819,0.88571,0.95758,0.48473,1.79734,1.17834,1.01678,0.001516,0.001516,0.001516
46,4668.49,1.59943,1.27326,0.98551,0.91339,0.85714,0.91719,0.53008,1.82994,1.14288,1.13456,0.001505,0.001505,0.001505
47,4783.19,1.65853,1.34104,1.02065,0.78142,0.81733,0.84577,0.46103,2.00309,1.2136,1.19645,0.001494,0.001494,0.001494
48,4876.17,1.61666,1.356,1.01494,0.83498,0.8676,0.90234,0.48824,1.87787,1.21873,1.21212,0.001483,0.001483,0.001483
49,4987.54,1.61693,1.28359,0.98427,0.84046,0.60214,0.75927,0.46772,1.68081,1.23409,1.0548,0.001472,0.001472,0.001472
50,5143.27,1.63305,1.31293,1.01978,0.9313,0.77469,0.90372,0.49232,1.7793,1.03775,1.14054,0.001461,0.001461,0.001461
51,5297.83,1.62828,1.29223,0.98949,0.8859,0.88734,0.93406,0.51077,1.84481,1.06205,1.23878,0.00145,0.00145,0.00145
52,5449.59,1.65037,1.29822,0.98411,0.70317,0.88571,0.88817,0.50591,1.74656,1.20663,1.14162,0.001439,0.001439,0.001439
53,5575.88,1.56508,1.26583,0.98161,0.92705,0.85714,0.88089,0.50475,1.89234,1.32911,1.13577,0.001428,0.001428,0.001428
54,5745.12,1.57024,1.24828,0.99114,0.9687,0.88424,0.92584,0.54072,1.78187,1.03153,1.08079,0.001417,0.001417,0.001417
55,5888.25,1.51623,1.28296,1.01454,0.81474,0.87969,0.87237,0.51183,2.00223,1.41195,1.38247,0.001406,0.001406,0.001406
56,5995.66,1.5469,1.28012,0.97818,0.96968,0.91382,0.91081,0.5097,1.87592,1.03105,1.12211,0.001395,0.001395,0.001395
57,6158.29,1.5992,1.25881,1.0028,0.91856,0.85714,0.92276,0.54319,1.78187,1.24694,1.27785,0.001384,0.001384,0.001384
58,6308.48,1.55602,1.26067,0.98165,0.9286,0.85714,0.91379,0.52167,1.68953,1.26771,1.14879,0.001373,0.001373,0.001373
59,6421.15,1.58007,1.27449,1.00551,0.88382,0.88571,0.88153,0.54061,1.614,1.05381,1.30677,0.001362,0.001362,0.001362
60,6606.35,1.56026,1.26148,1.00265,0.88293,0.86208,0.86689,0.53648,1.47647,1.13413,0.9624,0.001351,0.001351,0.001351
