epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,889.957,1.75538,1.1601,1.08981,0.60078,0.28571,0.24661,0.11906,2.23025,1.36705,1.67924,0.0015842,0.0015842,0.0015842
44,917.67,1.69019,1.16079,1.07748,0.99585,0.57143,0.65729,0.36472,1.5342,1.36044,1.04446,0.0015743,0.0015743,0.0015743
45,945.856,1.65887,1.19935,1.03487,0.73786,0.21429,0.21881,0.09734,1.48309,1.17683,0.9321,0.0015644,0.0015644,0.0015644
46,969.126,1.65154,1.16519,1.02885,0.55042,0.5,0.46905,0.31305,1.57684,1.30913,1.04028,0.0015545,0.0015545,0.0015545
47,994.059,1.64453,1.13046,1.09107,0.73693,0.42857,0.44751,0.29113,1.57139,1.19833,1.01672,0.0015446,0.0015446,0.0015446
48,1013.56,1.61603,1.11054,1.10185,0.98911,0.5,0.50404,0.28561,1.65173,1.24867,0.9891,0.0015347,0.0015347,0.0015347
49,1034.04,1.66338,1.10085,1.07226,0.74569,0.28571,0.32756,0.18438,2.00277,1.23374,1.14224,0.0015248,0.0015248,0.0015248
50,1057.27,1.5948,1.16015,1.06369,0.89852,0.63334,0.69586,0.30854,2.01434,1.24578,1.3839,0.0015149,0.0015149,0.0015149
51,1078.21,1.66688,1.14288,1.00431,0.54188,0.28571,0.24863,0.10719,2.24702,1.30174,1.32883,0.001505,0.001505,0.001505
52,1100.95,1.60216,1.08917,1.09709,0.71913,0.78571,0.67449,0.23181,2.25907,1.54276,1.77128,0.0014951,0.0014951,0.0014951
53,1120.37,1.66831,1.18166,1.03048,0.59245,0.64286,0.59516,0.27769,2.02318,1.24072,1.40224,0.0014852,0.0014852,0.0014852
54,1145.37,1.57664,1.14096,1.02265,0.82382,0.78571,0.82692,0.52161,1.4757,1.13539,1.00064,0.0014753,0.0014753,0.0014753
55,1167.23,1.53194,1.14202,0.99631,0.88404,0.71429,0.81487,0.56293,1.2931,1.05574,0.94285,0.0014654,0.0014654,0.0014654
56,1184.4,1.58468,1.12095,1.03702,0.96819,0.57143,0.67002,0.4145,1.59549,1.11683,1.23242,0.0014555,0.0014555,0.0014555
57,1202.4,1.5328,1.12526,1.01215,1,0.78097,0.78784,0.50333,1.46899,1.08162,0.96988,0.0014456,0.0014456,0.0014456
58,1221.21,1.41035,0.98727,0.9979,0.85151,0.92857,0.90213,0.58878,1.53831,1.31179,1.00914,0.0014357,0.0014357,0.0014357
59,1243.84,1.58715,1.09153,0.99873,0.90057,0.78571,0.78434,0.48949,1.78521,1.33962,0.89542,0.0014258,0.0014258,0.0014258
60,1267.75,1.54978,1.10265,1.015,0.87172,0.64286,0.62559,0.37323,1.54084,1.26292,0.89542,0.0014159,0.0014159,0.0014159
61,1285.95,1.54782,1.0378,0.99046,0.80004,0.85738,0.88555,0.56647,1.41537,1.11607,0.9902,0.001406,0.001406,0.001406
62,1306.6,1.48518,0.9952,0.98039,0.81793,0.78571,0.77511,0.44676,1.54575,0.9666,0.95541,0.0013961,0.0013961,0.0013961
63,1322.94,1.49257,1.01288,1.02458,0.72585,0.85714,0.80926,0.50571,1.5943,1.20356,0.91722,0.0013862,0.0013862,0.0013862
64,1340.25,1.50501,1.0924,0.96617,0.78134,0.78571,0.77132,0.49879,1.43107,1.28781,0.87337,0.0013763,0.0013763,0.0013763
65,1355.27,1.47916,1.04497,0.96548,0.88747,0.64286,0.7569,0.51409,1.56334,1.12298,0.93558,0.0013664,0.0013664,0.0013664
66,1369.67,1.32905,1.08931,0.99701,0.97019,0.71429,0.78884,0.41113,1.84193,1.12157,1.10533,0.0013565,0.0013565,0.0013565
67,1389,1.48946,1.00514,0.97126,0.83337,0.78571,0.76856,0.35181,1.91363,1.30834,1.20287,0.0013466,0.0013466,0.0013466
68,1405.41,1.42851,1.01517,0.99179,0.76607,0.78571,0.75429,0.49869,1.48928,1.04771,0.87897,0.0013367,0.0013367,0.0013367
69,1422.12,1.51129,1.07686,0.99777,0.96587,0.64286,0.76007,0.42034,1.62889,0.99431,0.96145,0.0013268,0.0013268,0.0013268
70,1437.85,1.45234,0.95573,0.96778,0.74323,0.71429,0.7255,0.48064,1.43636,1.11423,0.90587,0.0013169,0.0013169,0.0013169
71,1454.09,1.46088,0.97443,0.94648,0.92243,0.71429,0.77314,0.53765,1.40198,0.98551,0.84375,0.001307,0.001307,0.001307
72,1468.29,1.39111,0.97449,0.98069,0.97638,0.71429,0.78071,0.51675,1.58674,0.87083,0.87823,0.0012971,0.0012971,0.0012971
73,1482.69,1.42551,0.97357,0.94366,0.89424,0.78571,0.78476,0.55003,1.34312,0.94987,0.84481,0.0012872,0.0012872,0.0012872
74,1496.93,1.38859,0.99342,0.96671,0.81147,0.61647,0.74955,0.49827,1.36535,1.13201,0.81808,0.0012773,0.0012773,0.0012773
75,1512.18,1.49723,1.02897,0.97715,0.82374,0.78571,0.85669,0.56695,1.27826,1.01307,0.80976,0.0012674,0.0012674,0.0012674
76,1528.97,1.35948,0.93436,0.9403,0.8452,0.78038,0.78288,0.56695,1.16113,0.93148,0.82473,0.0012575,0.0012575,0.0012575
77,1548.84,1.41113,0.97824,0.97992,1,0.70273,0.83263,0.54072,1.41665,1.05873,0.91111,0.0012476,0.0012476,0.0012476
78,1563.07,1.28941,0.92067,0.93581,0.93323,0.64286,0.84397,0.60111,1.39349,0.87946,0.85469,0.0012377,0.0012377,0.0012377
79,1580.26,1.34617,0.97307,0.94559,0.89893,0.71429,0.8121,0.61649,1.23123,1.021,0.77626,0.0012278,0.0012278,0.0012278
80,1593.22,1.3533,0.98875,0.93131,0.99245,0.78571,0.82932,0.5767,1.34303,0.82421,0.812,0.0012179,0.0012179,0.0012179
81,1611.23,1.34706,0.98887,0.94988,0.85422,0.83817,0.85186,0.56714,1.33274,0.9195,0.80071,0.001208,0.001208,0.001208
82,1626.66,1.3949,0.95134,0.97796,0.84411,0.85714,0.87529,0.57005,1.52507,0.94485,0.81938,0.0011981,0.0011981,0.0011981
